participant,item,congruency,task,IA_LABEL,totread,fpass,spass,regpath,regin,reginc,regout,regoutc,skip,accuracy,rt,order,trial_trt
1_1,16_cong,congruent,entertainment,Coda,1414,151,439,1693,0,0,1,2,0,1,3218,2,15106
1_1,15_inc,incongruent,entertainment,Context,8929,8109,820,8109,1,1,0,0,0,1,3946,2,15036
1_1,15_inc,incongruent,entertainment,Target,2950,1930,336,3086,1,1,1,1,0,1,3946,2,15036
1_1,15_inc,incongruent,entertainment,Spillover,996,996,,996,0,0,0,0,1,1,3946,2,15036
1_1,15_inc,incongruent,entertainment,Coda,2161,981,1180,3841,0,0,1,1,0,1,3946,2,15036
1_1,14_cong,congruent,entertainment,Context,12107,12107,,12107,0,0,0,0,0,1,4226,2,17635
1_1,14_cong,congruent,entertainment,Target,2433,2433,,2433,0,0,0,0,0,1,4226,2,17635
1_1,14_cong,congruent,entertainment,Spillover,1625,1625,,1625,0,0,0,0,0,1,4226,2,17635
1_1,14_cong,congruent,entertainment,Coda,1470,1470,,1470,0,0,0,0,0,1,4226,2,17635
1_1,20_cong,congruent,entertainment,Context,10628,3098,6265,9363,1,2,0,0,0,1,3390,2,15574
1_1,20_cong,congruent,entertainment,Target,2245,2245,,3108,0,0,1,1,0,1,3390,2,15574
1_1,20_cong,congruent,entertainment,Spillover,1216,969,247,1371,1,1,1,1,0,1,3390,2,15574
1_1,20_cong,congruent,entertainment,Coda,1366,95,1271,1613,0,0,1,1,0,1,3390,2,15574
1_1,23_inc,incongruent,entertainment,Context,8829,8829,,8829,0,0,0,0,0,0,2971,2,15242
1_1,23_inc,incongruent,entertainment,Target,2305,2305,,2305,0,0,0,0,0,0,2971,2,15242
1_1,23_inc,incongruent,entertainment,Spillover,2227,1731,496,1731,1,1,0,0,0,0,2971,2,15242
1_1,23_inc,incongruent,entertainment,Coda,1881,144,1737,2377,0,0,1,1,0,0,2971,2,15242
1_1,22_cong,congruent,entertainment,Context,10111,9724,387,9724,1,1,0,0,0,0,2246,2,14220
1_1,22_cong,congruent,entertainment,Target,1303,1303,,1303,0,0,0,0,1,0,2246,2,14220
1_1,22_cong,congruent,entertainment,Spillover,1784,83,1701,3474,0,0,1,1,0,0,2246,2,14220
1_1,22_cong,congruent,entertainment,Coda,1022,1022,,1022,0,0,0,0,0,0,2246,2,14220
1_1,17_inc,incongruent,entertainment,Context,18465,11715,1098,11715,1,6,0,0,0,1,2863,2,27389
1_1,17_inc,incongruent,entertainment,Target,4122,165,311,1263,1,5,1,1,0,1,2863,2,27389
1_1,17_inc,incongruent,entertainment,Spillover,3949,127,410,13558,0,0,1,6,0,1,2863,2,27389
1_1,17_inc,incongruent,entertainment,Coda,853,853,,853,0,0,0,0,0,1,2863,2,27389
1_1,18_cong,congruent,entertainment,Context,8984,4684,4300,8984,0,0,0,0,0,0,3290,2,12796
1_1,18_cong,congruent,entertainment,Target,1065,1065,,1065,0,0,0,0,0,0,3290,2,12796
